/meka/addressee-meka/scatter/Viewing_Person0_Meka/	gaze/addressee	/meka/dialogact/dialogActInformer/	/meka/eval/mouth/dialogact/	meka-addressee	/videorecorder/open/	mouth/addressee	start_time	/videorecorder/start/	/videorecorder/stop/	robot-speaking	/meka/addressee-meka/scatter/Person0_Mouth/	filename	/meka/eval/gaze/dialogact/	trial	annotation_modifier	/meka/eval/all/dialogact/	/meka/addressee-meka/scatter/Addressee/	date	/videorecorder/close/	/meka/rejected/dialogact/dialogActInformer/
No							349562				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D0D283}>
Yes	nameRequest nameRequest y	#<DIALOG-ACT {100EAF3673}>	timeRequest	y		y	351076				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	timeRequest	2	shiftedAnnotationsExactly	nameRequest timeRequest	Meka	2016-02-26_13-42-09		
Yes							353115				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D11AF3}>
Yes	lightOn y 	#<DIALOG-ACT {100EAF8583}>	lightOn	y 		y 	355273				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	lightOn	2	shiftedAnnotationsExactly	lightOn	Meka	2016-02-26_13-42-09		
Yes	lightOn y 	#<DIALOG-ACT {100EAFD243}>	confirmation	y 		y 	355934				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	confirmation	2	shiftedAnnotationsExactly	confirmation	Meka	2016-02-26_13-42-09		
No			negation				360585				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D16823}>
Yes	n lightOff	#<DIALOG-ACT {100EB01A83}>	lightOff	n - falsche person		n	364802				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	lightOff	2	shiftedAnnotationsExactly	lightOff	Meka	2016-02-26_13-42-09		
No							366043				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D1B193}>
Yes							367034				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	confirmation	2	shiftedAnnotationsExactly	confirmation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D1FC63}>
Yes		#<DIALOG-ACT {100EB069A3}>	confirmation				368074				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	confirmation	2	shiftedAnnotationsExactly	confirmation	Meka	2016-02-26_13-42-09		
No			ok				376262				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D244C3}>
No							376891				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	confirmation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D28B93}>
No							377802				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D2D413}>
Yes							380279				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	negation	2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D31F13}>
Yes	y lightOn	#<DIALOG-ACT {100EB0B363}>	lightOn	y			385653				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	lightOn	2	shiftedAnnotationsExactly	lightOn	Meka	2016-02-26_13-42-09		
